Age,Height,Weight,Bmi,BmiClass,EncodedBmiClass
61.0,1.85,109.3,31.935719503287068,Obese Class 1,1.0
60.0,1.71,,,Overweight,4.0
60.0,1.55,74.7,31.09261186264308,Obese Class 1,1.0
60.0,1.46,35.9,16.841808969787955,Underweight,5.0
,1.58,97.1,38.89601025476686,Obese Class 2,2.0
,1.71,79.32,27.126295270339597,Overweight,4.0
,1.7,73.32,25.370242214532876,Overweight,4.0
59.0,1.72,85.32,28.83991346673878,Overweight,
59.0,1.46,36.0,,Underweight,5.0
59.0,,104.7,31.26399713338708,Obese Class 1,1.0
,1.71,79.31,27.122875414657504,Overweight,4.0
58.0,1.7,,25.401384083044984,Overweight,
58.0,1.72,85.21,28.80273120605733,Overweight,4.0
58.0,,36.0,16.65972511453561,Underweight,
,1.71,79.3,,Overweight,4.0
,1.7,73.5,,Overweight,4.0
57.0,1.72,85.1,28.76554894537588,Overweight,4.0
57.0,1.75,110.0,35.91836734693877,Obese Class 2,2.0
57.0,1.58,79.7,,Obese Class 1,1.0
57.0,,36.0,16.65972511453561,Underweight,5.0
57.0,1.6,,38.71093749999999,Obese Class 2,2.0
,1.71,79.29,27.116035703293328,Overweight,4.0
56.0,1.7,73.59,25.463667820069208,Overweight,
56.0,,84.99,,Overweight,4.0
56.0,1.59,75.8,29.982991179146392,Overweight,4.0
56.0,1.47,36.1,16.706002128742657,Underweight,5.0
,1.8,98.5,,Obese Class 1,
56.0,1.59,98.0,,Obese Class 2,2.0
55.0,1.72,79.28,26.79826933477556,Overweight,4.0
,,73.68,25.197496665640717,Overweight,4.0
55.0,1.73,84.88,28.36045307227104,Overweight,
,,,32.11195240670633,Obese Class 1,1.0
,1.7,,55.36332179930796,Obese Class 3,
55.0,1.48,,16.48100803506209,Underweight,5.0
54.0,,79.32,26.811790156841536,Overweight,4.0
54.0,1.71,73.82,25.245374645189973,Overweight,4.0
54.0,1.61,78.1,30.1300104162648,Obese Class 1,1.0
,1.48,36.2,16.526661796932068,Underweight,5.0
54.0,1.61,,38.69449481115697,Obese Class 2,2.0
53.0,1.72,79.31,26.808409951325043,Overweight,4.0
,1.62,76.3,29.073311995122687,Overweight,4.0
53.0,1.49,,16.305571821089142,Underweight,5.0
,1.62,101.7,38.7517146776406,Obese Class 2,2.0
52.0,,79.3,26.805029745808547,Overweight,
52.0,1.71,74.0,25.3069320474676,Overweight,4.0
52.0,1.6,73.0,28.515624999999996,Overweight,
52.0,1.49,36.3,16.350614837169495,Underweight,5.0
52.0,1.64,105.1,,Obese Class 2,2.0
51.0,1.72,79.29,26.80164954029205,Overweight,4.0
,,74.09,25.33771074860641,Overweight,4.0
51.0,1.63,70.2,26.421769731642144,Overweight,4.0
51.0,1.5,36.4,16.177777777777777,Underweight,5.0
51.0,1.75,91.2,29.779591836734696,Overweight,4.0
51.0,,,37.1280276816609,Obese Class 2,2.0
50.0,1.73,,26.489358147616024,Overweight,
50.0,1.72,74.18,25.074364521362902,Overweight,4.0
,1.74,,,Overweight,4.0
,1.8,135.0,41.66666666666666,Obese Class 3,3.0
,1.62,46.0,17.527815881725342,Underweight,5.0
50.0,1.63,,27.28744024991532,Overweight,4.0
50.0,,36.5,,Underweight,
50.0,1.84,106.9,,Obese Class 1,1.0
50.0,1.66,110.5,40.10015967484396,Obese Class 3,3.0
49.0,1.73,79.02,26.40248588325704,Overweight,4.0
49.0,1.72,74.02,25.020281233098974,Overweight,4.0
49.0,1.74,84.02,27.751354207953494,Overweight,4.0
,1.6,,,Overweight,
49.0,1.6,44.0,17.187499999999996,Underweight,5.0
,,77.9,28.96341463414635,Overweight,4.0
49.0,1.51,36.6,16.051927547037412,Underweight,
49.0,1.63,103.2,38.84225977643119,Obese Class 2,2.0
,,79.01,,Overweight,4.0
,1.73,74.11,,Normal Weight,0.0
48.0,1.75,83.91,27.399183673469388,Overweight,4.0
48.0,1.63,100.0,,Obese Class 2,
48.0,1.58,42.0,,Underweight,5.0
48.0,1.68,79.5,28.16751700680273,Overweight,
,,36.7,16.095785272575764,Underweight,5.0
48.0,1.69,110.9,38.82917264801653,Obese Class 2,
,1.74,79.0,26.09327520147972,Overweight,4.0
47.0,,74.2,24.792007751678973,Normal Weight,0.0
47.0,1.75,83.8,27.363265306122447,Overweight,4.0
47.0,1.55,40.0,16.649323621227886,Underweight,5.0
,1.65,75.3,,Overweight,4.0
47.0,1.52,36.8,15.92797783933518,Underweight,5.0
47.0,1.82,,,Obese Class 1,1.0
47.0,1.75,112.2,36.63673469387755,Obese Class 2,2.0
46.0,1.74,78.99,26.08997225525168,Overweight,4.0
46.0,1.73,74.29,24.82207892011093,Normal Weight,0.0
46.0,1.75,,27.32734693877551,Overweight,4.0
,1.86,70.0,20.23355301190889,Normal Weight,0.0
46.0,,77.0,25.72755521400648,Overweight,4.0
